minute,second,period,timestamp,team,posX,posY,description,actor,A,B
0,0,,0,A,,,firma entrenador,,0,0
0,0,,0,B,,,firma entrenador,,0,0
10,0,,0,,,,inicio de partido,,0,0
10,0,1.0,0,,,,inicio periodo,,0,0
9,59,1.0,0,B,2157.0,-1486.0,canasta de 2,30.0,0,2
9,40,1.0,0,B,,,intento fallado de tiro libre,30.0,0,2
9,40,1.0,0,B,2737.0,650.0,canasta de 2,31.0,0,4
9,28,1.0,0,A,7725.0,-4180.0,canasta de 3,1.0,3,4
8,54,1.0,0,B,2389.0,-1068.0,intento fallado de 2,27.0,3,4
8,42,1.0,0,A,,,recuperación inicial,,3,4
8,33,1.0,0,B,,,personal,27.0,3,4
8,20,1.0,0,A,186.0,-3181.0,canasta de 2,4.0,5,4
8,3,1.0,0,B,2413.0,1649.0,canasta de 2,25.0,5,6
7,50,1.0,0,A,7029.0,3553.0,intento fallado de 3,11.0,5,6
7,44,1.0,0,A,1717.0,3553.0,intento fallado de 2,0.0,5,6
7,37,1.0,0,B,1160.0,1184.0,intento fallado de 2,27.0,5,6
7,28,1.0,0,A,1693.0,-116.0,intento fallado de 2,4.0,5,6
7,23,1.0,0,B,1763.0,-2833.0,canasta de 2,26.0,5,8
7,4,1.0,0,A,1902.0,-3738.0,intento fallado de 2,4.0,5,8
6,54,1.0,0,B,2227.0,-488.0,intento fallado de 2,25.0,5,8
6,35,1.0,0,B,,,personal,25.0,5,8
6,28,1.0,0,A,1531.0,-3506.0,intento fallado de 2,4.0,5,8
6,15,1.0,0,B,1137.0,1997.0,intento fallado de 2,31.0,5,8
5,48,1.0,0,B,3109.0,395.0,intento fallado de 2,30.0,5,8
5,29,1.0,0,A,2134.0,-1811.0,intento fallado de 2,4.0,5,8
5,17,1.0,0,A,,,personal,3.0,5,8
5,14,1.0,0,B,,,sale a banquillo,27.0,5,8
5,14,1.0,0,B,,,sale a banquillo,25.0,5,8
5,14,1.0,0,A,,,sale a banquillo,4.0,5,8
5,14,1.0,0,B,,,entra a pista,23.0,5,8
5,14,1.0,0,A,,,entra a pista,9.0,5,8
5,14,1.0,0,B,,,entra a pista,21.0,5,8
5,3,1.0,0,B,673.0,673.0,canasta de 2,21.0,5,10
4,45,1.0,0,B,3526.0,789.0,canasta de 2,21.0,5,12
4,45,1.0,0,A,,,tiempo muerto,,5,12
4,45,1.0,0,A,,,sale a banquillo,3.0,5,12
4,45,1.0,0,A,,,sale a banquillo,0.0,5,12
4,45,1.0,0,B,,,sale a banquillo,31.0,5,12
4,45,1.0,0,A,,,entra a pista,8.0,5,12
4,45,1.0,0,A,,,entra a pista,6.0,5,12
4,45,1.0,0,B,,,entra a pista,24.0,5,12
4,27,1.0,0,A,882.0,1741.0,intento fallado de 2,9.0,5,12
4,21,1.0,0,B,,,personal,26.0,5,12
4,13,1.0,0,A,6171.0,4226.0,intento fallado de 3,11.0,5,12
3,53,1.0,0,B,1809.0,-3088.0,intento fallado de 2,30.0,5,12
3,43,1.0,0,A,1879.0,-2508.0,canasta de 2,11.0,7,12
3,25,1.0,0,B,2250.0,1254.0,intento fallado de 2,21.0,7,12
2,58,1.0,0,A,1902.0,-2136.0,intento fallado de 2,6.0,7,12
2,35,1.0,0,B,4408.0,-3065.0,canasta de 2,21.0,7,14
2,29,1.0,0,B,3688.0,-975.0,intento fallado de 2,21.0,7,14
2,12,1.0,0,B,,,personal,21.0,7,14
2,12,1.0,0,A,,,entra a pista,10.0,7,14
2,12,1.0,0,A,,,sale a banquillo,1.0,7,14
2,12,1.0,0,B,,,sale a banquillo,30.0,7,14
2,12,1.0,0,B,,,sale a banquillo,26.0,7,14
2,12,1.0,0,B,,,entra a pista,29.0,7,14
2,12,1.0,0,A,,,entra a pista,7.0,7,14
2,12,1.0,0,B,,,entra a pista,28.0,7,14
2,12,1.0,0,A,,,sale a banquillo,11.0,7,14
1,59,1.0,0,A,1160.0,1950.0,intento fallado de 2,9.0,7,14
1,46,1.0,0,A,,,personal,8.0,7,14
