minute,period,timestamp,team,posX,posY,description,actor,A,B
,,39848,,,,inicio partido,,,
,,39848,,,,inicio partido,,,
,,39848,,,,inicio partido,,,
,,39848,,,,inicio partido,,,
,,39848,,,,inicio periodo,,,
9.0,1.0,40174,B,4491.0,6445.0,intento fallado de 3,26.0,0.0,0.0
,,40243,,,,cambio atacante,,,
,,40490,,,,clock_off,,,
,,40953,,,,clock_on,,,
9.0,1.0,41967,B,2358.0,135.0,intento fallado de 2,25.0,0.0,0.0
,,42144,,,,cambio atacante,,,
,,42324,,,,clock_off,,,
,,42819,,,,clock_on,,,
8.0,1.0,43910,B,4828.0,-651.0,intento fallado de 2,26.0,0.0,0.0
,,44004,,,,cambio atacante,,,
,,44737,,,,cambio atacante,,,
8.0,1.0,45056,B,135.0,1976.0,intento fallado de 2,32.0,0.0,0.0
,,45167,,,,cambio atacante,,,
8.0,1.0,45587,A,898.0,2335.0,intento fallado de 2,11.0,0.0,0.0
,,45637,,,,clock_off,,,
,,39887,,,,cambio atacante,,,
,,46544,,,,clock_on,,,
8.0,1.0,47199,B,5097.0,-157.0,intento fallado de 2,32.0,0.0,0.0
,,47337,,,,cambio atacante,,,
7.0,1.0,47996,A,3368.0,-6714.0,intento fallado de 3,7.0,0.0,0.0
,,48149,,,,cambio atacante,,,
,,48748,,,,clock_off,,,
,,49355,,,,clock_on,,,
,,49667,,,,clock_off,,,
,,50276,,,,clock_on,,,
,,51643,,,,cambio atacante,,,
6.0,1.0,51832,A,5322.0,6130.0,intento fallado de 3,0.0,0.0,0.0
,,52020,,,,cambio atacante,,,
6.0,1.0,52281,B,247.0,7163.0,canasta de 3,31.0,0.0,3.0
,,52485,,,,cambio atacante,,,
6.0,1.0,52879,A,3682.0,-6894.0,intento fallado de 3,7.0,0.0,3.0
,,53119,,,,cambio atacante,,,
6.0,1.0,53277,A,,,personal,7.0,0.0,3.0
,,54313,,,,reinicio despues de falta,,,
6.0,1.0,54523,B,4019.0,-6130.0,intento fallado de 3,26.0,0.0,3.0
,,54641,,,,cambio atacante,,,
,,54883,,,,cambio atacante,,,
6.0,1.0,55071,B,,,mate,26.0,0.0,3.0
,,55217,,,,cambio atacante,,,
5.0,1.0,55719,A,3772.0,6647.0,intento fallado de 3,7.0,0.0,3.0
5.0,1.0,56117,A,,,personal,11.0,0.0,3.0
5.0,1.0,56366,A,,,entra a pista,2.0,0.0,3.0
5.0,1.0,56366,A,,,entra a pista,4.0,0.0,3.0
5.0,1.0,56366,A,,,sale a banquillo,7.0,0.0,3.0
5.0,1.0,56366,A,,,sale a banquillo,5.0,0.0,3.0
,,56960,,,,reinicio despues de falta,,,
,,57412,,,,cambio atacante,,,
5.0,1.0,57961,A,966.0,1931.0,intento fallado de 2,1.0,0.0,3.0
,,58156,,,,cambio atacante,,,
5.0,1.0,58374,B,404.0,-1684.0,canasta de 2,32.0,0.0,5.0
,,58556,,,,cambio atacante,,,
5.0,1.0,59432,A,5030.0,314.0,canasta de 2,0.0,2.0,5.0
,,59533,,,,cambio atacante,,,
4.0,1.0,60229,A,,,personal,2.0,2.0,5.0
,,60797,,,,reinicio despues de falta,,,
4.0,1.0,61061,B,4670.0,472.0,canasta de 2,33.0,2.0,7.0
,,61257,,,,cambio atacante,,,
4.0,1.0,61941,A,1437.0,-1707.0,intento fallado de 2,1.0,2.0,7.0
,,61991,,,,clock_off,,,
,,62640,,,,clock_on,,,
