,play,final_event,team,actor,after_timeout,quarter,pointsA,pointsB,playersA,playersB,partial
0,"[39848, 40243]",shot_miss_3,B,26,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
1,"[40243, 40490]",violation,A,-,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
2,"[40953, 42144]",shot_miss_2,B,25,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
3,"[42144, 42324]",violation,A,-,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
4,"[42819, 44004]",shot_miss_2,B,26,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
5,"[44004, 44737]",steal,A,-,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
6,"[44737, 45167]",shot_miss_2,B,32,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
7,"[45167, 45637]",shot_miss_2 + violation,A,11,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
8,"[46544, 47337]",shot_miss_2,B,32,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
9,"[47337, 48149]",shot_miss_3,A,7,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
10,"[48149, 48748]",violation,B,-,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
11,"[49355, 49667]",violation,A,-,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
12,"[50276, 51643]",steal,B,-,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
13,"[51643, 52020]",shot_miss_3,A,0,False,1,0,0,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",0
14,"[52020, 52281]",shot_made_3,B,31,False,1,0,3,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",-3
15,"[52485, 53119]",shot_miss_3,A,7,False,1,0,3,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",-3
16,"[53119, 53277]",foul,A,7,False,1,0,3,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",-3
17,"[54313, 54641]",shot_miss_3,B,26,False,1,0,3,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",-3
18,"[54641, 54883]",steal,A,-,False,1,0,3,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",-3
19,"[54883, 55071]",shot_made_2,B,26,False,1,0,3,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",-3
20,"[55217, 56117]",shot_miss_3 + foul,A,7,False,1,0,3,"{0, 11, 5, 7}","{32, 33, 25, 26, 31}",-3
